date,activity,weight,points,crono
2021-03-18,Exercicios,15,31,0000:02:39
2021-03-18,Neuronation/Ingles,25,0,0000:00:00
2021-03-18,Pesquisas,40,7,0000:01:06
2021-03-18,Disciplinas,40,0,0000:00:00
2021-03-17,Neuronation/Ingles,25,0,0000:00:00
2021-03-17,Meditacao,50,0,0000:00:00
2021-03-17,Exercicios,15,10,0000:01:01
2021-03-17,Flauta,40,0,0000:00:00
2021-03-17,Afirmacoes,150,0,0000:00:00
2021-03-17,Pesquisas,40,3,0000:00:30
2021-03-17,Disciplinas,40,0,0000:00:00
2021-03-17,VitaminasEtc,150,0,0000:00:00
2021-03-17,Programacao,40,0,0000:00:00
2021-03-17,Domesticas,10,0,0000:00:00
2021-03-16,Pesquisas,40,4,0000:00:24
2021-03-16,VitaminasEtc,150,0,0000:00:00
2021-03-16,Programacao,40,0,0000:00:00
2021-03-16,Disciplinas,40,0,0000:00:00
2021-03-16,Exercicios,15,0,0000:00:12
2021-03-16,Meditacao,50,0,0000:00:00
2021-03-16,Domesticas,10,0,0000:00:00
2021-03-16,Afirmacoes,150,0,0000:00:00
2021-03-16,Neuronation/Ingles,25,0,0000:00:00
2021-03-16,Flauta,40,0,0000:00:00
2021-03-15,Flauta,40,0,00:00:00
2021-03-15,Programacao,40,0,00:00:00
2021-03-15,VitaminasEtc,150,0,00:00:00
2021-03-15,Domesticas,10,0,00:00:00
2021-03-15,Exercicios,15,2,00:00:12
2021-03-15,Afirmacoes,150,0,00:00:00
2021-03-15,Pesquisas,40,0,00:00:20
2021-03-15,Disciplinas,40,0,00:00:00
2021-03-15,Neuronation/Ingles,25,0,00:00:00
2021-03-15,Meditacao,50,0,00:00:00
2021-03-14,Flauta,40,0,00:00:00
2021-03-14,VitaminasEtc,150,0,00:00:00
2021-03-14,Programacao,40,0,00:00:00
2021-03-14,Disciplinas,40,0,00:00:00
2021-03-14,Meditacao,50,0,00:00:00
2021-03-14,Exercicios,15,0,00:00:12
2021-03-14,Afirmacoes,150,0,00:00:00
2021-03-14,Neuronation/Ingles,25,0,00:00:00
2021-03-14,Domesticas,10,0,00:00:00
2021-03-14,Pesquisas,40,3,00:00:17
2021-03-13,Programacao,40,2,00:00:00
2021-03-13,Afirmacoes,150,13,00:00:00
2021-03-13,VitaminasEtc,150,0,00:00:00
2021-03-13,Pesquisas,40,3,00:00:05
2021-03-13,Meditacao,50,3,00:00:00
2021-03-13,Flauta,40,1,00:00:00
2021-03-13,Neuronation/Ingles,25,0,00:00:00
2021-03-13,Domesticas,10,0,00:00:00
2021-03-13,Disciplinas,40,0,00:00:00
2021-03-13,Exercicios,15,9,00:00:00
2021-03-12,Domesticas,10,0,00:00:00
2021-03-12,Programacao,40,0,00:00:00
2021-03-12,VitaminasEtc,150,0,00:00:00
2021-03-12,Disciplinas,40,24,00:00:00
2021-03-12,Neuronation/Ingles,25,12,00:00:00
2021-03-12,Pesquisas,40,24,00:00:00
2021-03-12,Meditacao,50,4,00:00:00
2021-03-12,Flauta,40,0,00:00:00
2021-03-12,Exercicios,15,20,00:00:00
2021-03-12,Afirmacoes,150,6,00:00:00
2021-03-11,VitaminasEtc,150,0,00:00:00
2021-03-11,Exercicios,15,0,00:00:00
2021-03-11,Disciplinas,40,0,00:00:00
2021-03-11,Domesticas,10,0,00:00:00
2021-03-11,Afirmacoes,150,0,00:00:00
2021-03-11,Pesquisas,40,12,00:00:00
2021-03-11,Flauta,40,0,00:00:00
2021-03-11,Programacao,40,0,00:00:00
2021-03-11,Meditacao,50,0,00:00:00
2021-03-11,Neuronation/Ingles,25,0,00:00:00
2021-03-10,Flauta,40,1,00:00:00
2021-03-10,Disciplinas,40,1,00:00:00
2021-03-10,Domesticas,20,5,00:00:00
2021-03-10,Afirmacoes,150,1,00:00:00
2021-03-10,Programacao,40,2,00:00:00
2021-03-10,Meditacao,50,2,00:00:00
2021-03-10,Neuronation/Ingles,25,1,00:00:00
2021-03-10,Pesquisas,40,8,00:00:00
2021-03-10,VitaminasEtc,150,0,00:00:00
2021-03-10,Exercicios,15,3,00:00:00
2021-03-09,Meditacao,50,0,00:00:00
2021-03-09,Disciplinas,40,0,00:00:00
2021-03-09,Programacao,40,0,00:00:00
2021-03-09,VitaminasEtc,150,0,00:00:00
2021-03-09,Pesquisas,40,80,00:00:00
2021-03-09,Domesticas,10,24,00:00:00
2021-03-09,Exercicios,15,0,00:00:00
2021-03-09,Flauta,40,0,00:00:00
2021-03-09,Neuronation/Ingles,25,0,00:00:00
2021-03-09,Afirmacoes,150,0,00:00:00
2021-03-08,Domesticas,10,24,00:00:00
2021-03-08,Flauta,40,0,00:00:00
2021-03-08,Programacao,40,0,00:00:00
2021-03-08,Disciplinas,40,0,00:00:00
2021-03-08,Afirmacoes,150,0,00:00:00
2021-03-08,Neuronation/Ingles,25,0,00:00:00
2021-03-08,Exercicios,15,0,00:00:00
2021-03-08,Meditacao,50,0,00:00:00
2021-03-08,Pesquisas,40,80,00:00:00
2021-03-08,VitaminasEtc,150,0,00:00:00
2021-03-07,Disciplinas,40,0,00:00:00
2021-03-07,VitaminasEtc,150,0,00:00:00
2021-03-07,Pesquisas,40,80,00:00:00
