date,activity,weight,points,crono
2021-01-30,Exercicios,15,0,00:00:00
2021-01-30,Disciplinas,40,0,00:00:00
2021-01-30,Afirmacoes,150,0,00:00:00
2021-01-30,Programacao,40,0,00:00:00
2021-01-30,VitaminasEtc,150,1,00:00:00
2021-01-30,Flauta,40,0,00:00:00
2021-01-30,Neuronation/Ingles,25,0,00:00:00
2021-01-30,Domesticas,10,24,00:00:00
2021-01-30,Meditacao,50,0,00:00:00
2021-01-29,Afirmacoes,150,0,00:00:00
2021-01-29,VitaminasEtc,150,1,00:00:00
2021-01-29,Programacao,40,0,00:00:00
2021-01-29,Neuronation/Ingles,25,0,00:00:00
2021-01-29,Exercicios,15,20,00:00:00
2021-01-29,Domesticas,10,36,00:00:00
2021-01-29,Pesquisas,40,72,00:00:00
2021-01-29,Meditacao,50,0,00:00:00
2021-01-29,Disciplinas,40,20,00:00:00
2021-01-29,Flauta,40,0,00:00:00
2021-01-28,Neuronation/Ingles,25,0,00:00:00
2021-01-28,VitaminasEtc,150,1,00:00:00
2021-01-28,Programacao,40,7,00:00:00
2021-01-28,Disciplinas,40,0,00:00:00
2021-01-28,Meditacao,50,3,00:00:00
2021-01-28,Flauta,40,0,00:00:00
2021-01-28,Afirmacoes,150,0,00:00:00
2021-01-28,Pesquisas,40,24,00:00:00
2021-01-28,Domesticas,10,48,00:00:00
2021-01-28,Exercicios,15,20,00:00:00
2021-01-27,Programacao,40,24,00:00:00
2021-01-27,Afirmacoes,150,0,00:00:00
2021-01-27,Disciplinas,40,0,00:00:00
2021-01-27,Neuronation/Ingles,25,0,00:00:00
2021-01-27,Flauta,40,0,00:00:00
2021-01-27,Meditacao,50,4,00:00:00
2021-01-27,Domesticas,10,40,00:00:00
2021-01-27,Pesquisas,40,48,00:00:00
2021-01-27,VitaminasEtc,150,1,00:00:00
2021-01-27,Exercicios,15,0,00:00:00
2021-01-26,VitaminasEtc,150,1,00:00:00
2021-01-26,Domesticas,10,18,00:00:00
2021-01-26,Meditacao,50,4,00:00:00
2021-01-26,Flauta,40,0,00:00:00
2021-01-26,Pesquisas,40,35,00:00:00
2021-01-26,Programacao,40,12,00:00:00
2021-01-26,Exercicios,15,0,00:00:00
2021-01-26,Disciplinas,40,40,00:00:00
2021-01-26,Afirmacoes,150,0,00:00:00
2021-01-26,Neuronation/Ingles,25,0,00:00:00
2021-01-25,Exercicios,15,15,00:00:00
2021-01-25,Afirmacoes,150,0,00:00:00
2021-01-25,Disciplinas,40,36,00:00:00
2021-01-25,Meditacao,50,0,00:00:00
2021-01-25,Flauta,40,0,00:00:00
2021-01-25,Domesticas,10,12,00:00:00
2021-01-25,VitaminasEtc,150,1,00:00:00
2021-01-25,Programacao,40,5,00:00:00
2021-01-25,Neuronation/Ingles,25,0,00:00:00
2021-01-25,Pesquisas,40,2,00:00:00
2021-01-24,Flauta,40,0,00:00:00
2021-01-24,Domesticas,10,50,00:00:00
2021-01-24,Pesquisas,40,5,00:00:00
2021-01-24,VitaminasEtc,150,1,00:00:00
2021-01-24,Exercicios,15,0,00:00:00
2021-01-24,Disciplinas,40,70,00:00:00
2021-01-24,Programacao,40,3,00:00:00
2021-01-24,Neuronation/Ingles,25,0,00:00:00
2021-01-24,Meditacao,50,6,00:00:00
2021-01-24,Afirmacoes,150,0,00:00:00
2021-01-23,Flauta,40,0,00:00:00
2021-01-23,Pesquisas,40,12,00:00:00
2021-01-23,Domesticas,10,28,00:00:00
2021-01-23,Disciplinas,40,12,00:00:00
2021-01-23,Exercicios,15,15,00:00:00
2021-01-23,Meditacao,50,0,00:00:00
2021-01-23,Neuronation/Ingles,25,0,00:00:00
2021-01-23,Afirmacoes,150,0,00:00:00
2021-01-23,Programacao,40,0,00:00:00
2021-01-23,VitaminasEtc,150,1,00:00:00
2021-01-22,Afirmacoes,150,0,00:00:00
2021-01-22,Pesquisas,40,45,00:00:00
2021-01-22,Exercicios,15,0,00:00:00
2021-01-22,Domesticas,10,30,00:00:00
2021-01-22,Flauta,40,0,00:00:00
2021-01-22,Programacao,40,18,00:00:00
2021-01-22,VitaminasEtc,150,1,00:00:00
2021-01-22,Meditacao,50,0,00:00:00
2021-01-22,Disciplinas,40,18,00:00:00
2021-01-22,Neuronation/Ingles,25,0,00:00:00
2021-01-21,Programacao,40,4,00:00:00
2021-01-21,Disciplinas,40,0,00:00:00
2021-01-21,Domesticas,10,24,00:00:00
2021-01-21,Flauta,40,0,00:00:00
2021-01-21,VitaminasEtc,150,1,00:00:00
2021-01-21,Exercicios,15,15,00:00:00
2021-01-21,Pesquisas,40,65,00:00:00
2021-01-21,Afirmacoes,150,0,00:00:00
2021-01-21,Meditacao,50,6,00:00:00
2021-01-21,Neuronation/Ingles,25,0,00:00:00
2021-01-20,Flauta,40,0,00:00:00
2021-01-20,VitaminasEtc,150,1,00:00:00
2021-01-20,Neuronation/Ingles,25,0,00:00:00
2021-01-20,Domesticas,10,18,00:00:00
2021-01-20,Pesquisas,40,85,00:00:00
2021-01-20,Disciplinas,40,0,00:00:00
2021-01-20,Afirmacoes,150,0,00:00:00
2021-01-20,Programacao,40,6,00:00:00
2021-01-20,Meditacao,50,3,00:00:00
2021-01-20,Exercicios,15,20,00:00:00
2021-01-19,Afirmacoes,150,0,00:00:00
2021-01-19,VitaminasEtc,150,1,00:00:00
2021-01-19,Neuronation/Ingles,25,0,00:00:00
2021-01-19,Domesticas,10,48,00:00:00
2021-01-19,Flauta,40,0,00:00:00
2021-01-19,Programacao,40,8,00:00:00
2021-01-19,Exercicios,15,10,00:00:00
2021-01-19,Meditacao,50,4,00:00:00
2021-01-19,Pesquisas,40,36,00:00:00
2021-01-19,Disciplinas,40,0,00:00:00
2021-01-18,Flauta,40,0,00:00:00
2021-01-18,Meditacao,50,6,00:00:00
2021-01-18,Programacao,40,6,00:00:00
2021-01-18,Afirmacoes,150,0,00:00:00
2021-01-18,Pesquisas,40,48,00:00:00
2021-01-18,Domesticas,10,18,00:00:00
2021-01-18,Disciplinas,40,0,00:00:00
2021-01-18,Neuronation/Ingles,25,0,00:00:00
2021-01-18,VitaminasEtc,150,1,00:00:00
2021-01-18,Exercicios,15,0,00:00:00
2021-01-17,Neuronation/Ingles,25,0,00:00:00
2021-01-17,Programacao,40,9,00:00:00
2021-01-17,Pesquisas,40,96,00:00:00
2021-01-17,Domesticas,10,18,00:00:00
2021-01-17,Exercicios,15,0,00:00:00
2021-01-17,Meditacao,50,7,00:00:00
2021-01-17,Flauta,40,0,00:00:00
2021-01-17,Disciplinas,40,0,00:00:00
2021-01-17,VitaminasEtc,150,1,00:00:00
2021-01-17,Afirmacoes,150,0,00:00:00
2021-01-16,Flauta,40,0,00:00:00
2021-01-16,Neuronation/Ingles,25,0,00:00:00
2021-01-16,Afirmacoes,150,0,00:00:00
2021-01-16,Pesquisas,40,55,00:00:00
2021-01-16,Exercicios,15,20,00:00:00
2021-01-16,Meditacao,50,0,00:00:00
2021-01-16,Domesticas,10,18,00:00:00
2021-01-16,Programacao,40,8,00:00:00
2021-01-16,VitaminasEtc,150,1,00:00:00
2021-01-16,Disciplinas,40,0,00:00:00
2021-01-15,Programacao,40,0,00:00:00
2021-01-15,VitaminasEtc,150,1,00:00:00
2021-01-15,Exercicios,15,0,00:00:00
2021-01-15,Afirmacoes,150,0,00:00:00
2021-01-15,Pesquisas,40,48,00:00:00
2021-01-15,Flauta,40,0,00:00:00
2021-01-15,Neuronation/Ingles,25,0,00:00:00
2021-01-15,Domesticas,10,24,00:00:00
2021-01-15,Disciplinas,40,50,00:00:00
2021-01-15,Meditacao,50,0,00:00:00
2021-01-14,Flauta,40,0,00:00:00
2021-01-14,Exercicios,15,33,00:00:00
2021-01-14,Domesticas,10,50,00:00:00
2021-01-14,Afirmacoes,150,0,00:00:00
2021-01-14,VitaminasEtc,150,1,00:00:00
2021-01-14,Disciplinas,40,28,00:00:00
2021-01-14,Pesquisas,40,50,00:00:00
2021-01-14,Neuronation/Ingles,25,0,00:00:00
2021-01-14,Meditacao,50,4,00:00:00
2021-01-14,Programacao,40,2,00:00:00
2021-01-13,Neuronation/Ingles,25,0,00:00:00
2021-01-13,Pesquisas,40,0,00:00:00
2021-01-13,Programacao,40,40,00:00:00
2021-01-13,VitaminasEtc,150,1,00:00:00
2021-01-13,Disciplinas,40,48,00:00:00
2021-01-13,Flauta,40,0,00:00:00
2021-01-13,Afirmacoes,150,0,00:00:00
2021-01-13,Domesticas,10,36,00:00:00
2021-01-13,Meditacao,50,4,00:00:00
2021-01-13,Exercicios,15,4,00:00:00
2021-01-12,Neuronation/Ingles,25,0,00:00:00
2021-01-12,Domesticas,10,16,00:00:00
2021-01-12,Programacao,40,0,00:00:00
2021-01-12,Flauta,40,0,00:00:00
2021-01-12,Meditacao,50,6,00:00:00
2021-01-12,VitaminasEtc,150,1,00:00:00
2021-01-12,Disciplinas,40,42,00:00:00
2021-01-12,Exercicios,15,10,00:00:00
2021-01-12,Pesquisas,40,50,00:00:00
2021-01-12,Afirmacoes,150,0,00:00:00
2021-01-11,Exercicios,15,0,00:00:00
2021-01-11,Pesquisas,40,24,00:00:00
2021-01-11,Afirmacoes,150,0,00:00:00
2021-01-11,Disciplinas,40,0,00:00:00
2021-01-11,Meditacao,50,6,00:00:00
2021-01-11,Programacao,40,0,00:00:00
2021-01-11,Flauta,40,0,00:00:00
2021-01-11,VitaminasEtc,150,1,00:00:00
2021-01-11,Neuronation/Ingles,25,0,00:00:00
2021-01-11,Domesticas,10,36,00:00:00
2021-01-10,Pesquisas,40,24,00:00:00
2021-01-10,Disciplinas,40,0,00:00:00
2021-01-10,Domesticas,10,24,00:00:00
2021-01-10,Afirmacoes,150,0,00:00:00
2021-01-10,Flauta,40,0,00:00:00
2021-01-10,Programacao,40,0,00:00:00
2021-01-10,Neuronation/Ingles,25,0,00:00:00
2021-01-10,VitaminasEtc,150,1,00:00:00
2021-01-10,Meditacao,50,3,00:00:00
2021-01-10,Exercicios,15,20,00:00:00
2021-01-09,Neuronation/Ingles,25,0,00:00:00
2021-01-09,Domesticas,10,24,00:00:00
2021-01-09,Disciplinas,40,0,00:00:00
2021-01-09,Flauta,40,0,00:00:00
2021-01-09,Pesquisas,40,24,00:00:00
2021-01-09,Afirmacoes,150,0,00:00:00
2021-01-09,Meditacao,50,2,00:00:00
2021-01-09,Exercicios,15,25,00:00:00
2021-01-09,Programacao,40,0,00:00:00
2021-01-09,VitaminasEtc,150,1,00:00:00
2021-01-08,Afirmacoes,150,0,00:00:00
2021-01-08,Disciplinas,40,40,00:00:00
2021-01-08,Neuronation/Ingles,25,0,00:00:00
2021-01-08,Exercicios,15,8,00:00:00
2021-01-08,Meditacao,50,2,00:00:00
2021-01-08,Pesquisas,40,24,00:00:00
2021-01-08,Domesticas,10,30,00:00:00
2021-01-08,Flauta,40,0,00:00:00
2021-01-08,VitaminasEtc,150,1,00:00:00
2021-01-08,Programacao,40,0,00:00:00
2021-01-07,Neuronation/Ingles,25,0,00:00:00
2021-01-07,VitaminasEtc,150,1,00:00:00
2021-01-07,Domesticas,10,30,00:00:00
2021-01-07,Flauta,40,0,00:00:00
2021-01-07,Meditacao,50,4,00:00:00
2021-01-07,Disciplinas,40,0,00:00:00
2021-01-07,Pesquisas,40,42,00:00:00
2021-01-07,Programacao,40,0,00:00:00
2021-01-07,Afirmacoes,150,0,00:00:00
2021-01-07,Exercicios,15,20,00:00:00
2021-01-06,Programacao,40,0,00:00:00
2021-01-06,VitaminasEtc,150,1,00:00:00
2021-01-06,Domesticas,10,40,00:00:00
2021-01-06,Neuronation/Ingles,25,0,00:00:00
2021-01-06,Afirmacoes,150,0,00:00:00
2021-01-06,Meditacao,50,3,00:00:00
2021-01-06,Flauta,40,0,00:00:00
2021-01-06,Pesquisas,40,63,00:00:00
2021-01-06,Disciplinas,40,0,00:00:00
2021-01-06,Exercicios,15,0,00:00:00
2021-01-05,Afirmacoes,150,0,00:00:00
2021-01-05,VitaminasEtc,150,0,00:00:00
2021-01-05,Disciplinas,40,0,00:00:00
2021-01-05,Domesticas,10,200,00:00:00
2021-01-05,Flauta,40,0,00:00:00
2021-01-05,Meditacao,50,0,00:00:00
2021-01-05,Programacao,40,0,00:00:00
2021-01-05,Neuronation/Ingles,25,0,00:00:00
2021-01-05,Pesquisas,40,0,00:00:00
2021-01-05,Exercicios,15,0,00:00:00
2021-01-04,Meditacao,50,0,00:00:00
2021-01-04,Exercicios,15,0,00:00:00
2021-01-04,Programacao,40,0,00:00:00
2021-01-04,Disciplinas,40,0,00:00:00
2021-01-04,Pesquisas,40,0,00:00:00
2021-01-04,Afirmacoes,150,0,00:00:00
2021-01-04,Flauta,40,0,00:00:00
2021-01-04,Neuronation/Ingles,25,0,00:00:00
2021-01-04,VitaminasEtc,150,0,00:00:00
2021-01-04,Domesticas,10,200,00:00:00
2021-01-03,VitaminasEtc,150,0,00:00:00
2021-01-03,Programacao,40,0,00:00:00
2021-01-03,Disciplinas,40,0,00:00:00
2021-01-03,Neuronation/Ingles,25,0,00:00:00
2021-01-03,Domesticas,10,36,00:00:00
2021-01-03,Meditacao,50,4,00:00:00
2021-01-03,Pesquisas,40,18,00:00:00
2021-01-03,Flauta,40,0,00:00:00
2021-01-03,Afirmacoes,150,0,00:00:00
2021-01-03,Exercicios,15,25,00:00:00
2021-01-02,Disciplinas,40,0,00:00:00
2021-01-02,Domesticas,10,12,00:00:00
2021-01-02,Exercicios,15,10,00:00:00
2021-01-02,VitaminasEtc,150,0,00:00:00
2021-01-02,Afirmacoes,150,0,00:00:00
2021-01-02,Neuronation/Ingles,25,0,00:00:00
2021-01-02,Programacao,40,0,00:00:00
2021-01-02,Pesquisas,40,3,00:00:00
2021-01-02,Flauta,40,0,00:00:00
2021-01-02,Meditacao,50,0,00:00:00
2021-01-01,VitaminasEtc,150,0,00:00:00
2021-01-01,Flauta,40,0,00:00:00
2021-01-01,Neuronation/Ingles,25,0,00:00:00
2021-01-01,Domesticas,10,12,00:00:00
2021-01-01,Disciplinas,40,0,00:00:00
2021-01-01,Exercicios,15,20,00:00:00
2021-01-01,Pesquisas,40,12,00:00:00
2021-01-01,Programacao,40,0,00:00:00
2021-01-01,Afirmacoes,150,0,00:00:00
2021-01-01,Meditacao,50,3,00:00:00
2020-12-31,Disciplinas,40,0,00:00:00
2020-12-31,Neuronation/Ingles,25,0,00:00:00
2020-12-31,Afirmacoes,150,0,00:00:00
2020-12-31,VitaminasEtc,150,2,00:00:00
2020-12-31,Flauta,40,0,00:00:00
2020-12-31,Exercicios,15,0,00:00:00
2020-12-31,Domesticas,10,36,00:00:00
2020-12-31,Pesquisas,40,24,00:00:00
2020-12-31,Meditacao,50,0,00:00:00
2020-12-31,Programacao,40,0,00:00:00
2020-12-30,Flauta,40,0,00:00:00
2020-12-30,Pesquisas,40,24,00:00:00
2020-12-30,Neuronation/Ingles,25,0,00:00:00
2020-12-30,Meditacao,50,0,00:00:00
2020-12-30,VitaminasEtc,150,1,00:00:00
2020-12-30,Domesticas,10,24,00:00:00
2020-12-30,Programacao,40,0,00:00:00
2020-12-30,Disciplinas,40,0,00:00:00
2020-12-30,Afirmacoes,150,0,00:00:00
2020-12-30,Exercicios,15,0,00:00:00
2020-12-29,Exercicios,15,0,00:00:00
2020-12-29,Pesquisas,40,36,00:00:00
2020-12-29,Afirmacoes,150,0,00:00:00
2020-12-29,Programacao,40,0,00:00:00
2020-12-29,Domesticas,10,24,00:00:00
2020-12-29,Neuronation/Ingles,25,0,00:00:00
2020-12-29,Flauta,40,0,00:00:00
2020-12-29,Meditacao,50,7,00:00:00
2020-12-29,VitaminasEtc,150,1,00:00:00
2020-12-29,Disciplinas,40,0,00:00:00
2020-12-28,Disciplinas,40,0,00:00:00
2020-12-28,Meditacao,50,6,00:00:00
2020-12-28,Programacao,40,0,00:00:00
2020-12-28,Afirmacoes,150,0,00:00:00
2020-12-28,Neuronation/Ingles,25,0,00:00:00
2020-12-28,Flauta,40,0,00:00:00
2020-12-28,Pesquisas,40,72,00:00:00
2020-12-28,Domesticas,10,18,00:00:00
2020-12-28,Exercicios,15,25,00:00:00
2020-12-28,VitaminasEtc,150,1,00:00:00
2020-12-27,Afirmacoes,150,0,00:00:00
2020-12-27,Disciplinas,40,0,00:00:00
2020-12-27,Programacao,40,0,00:00:00
2020-12-27,Pesquisas,40,36,00:00:00
2020-12-27,Meditacao,50,5,00:00:00
2020-12-27,Exercicios,15,0,00:00:00
2020-12-27,Flauta,40,0,00:00:00
2020-12-27,Neuronation/Ingles,25,0,00:00:00
2020-12-27,Domesticas,10,18,00:00:00
2020-12-27,VitaminasEtc,150,1,00:00:00
2020-12-26,Flauta,40,0,00:00:00
2020-12-26,Meditacao,50,4,00:00:00
2020-12-26,Programacao,40,0,00:00:00
2020-12-26,VitaminasEtc,150,1,00:00:00
2020-12-26,Afirmacoes,150,0,00:00:00
2020-12-26,Neuronation/Ingles,25,0,00:00:00
2020-12-26,Exercicios,15,0,00:00:00
2020-12-26,Domesticas,10,8,00:00:00
2020-12-26,Pesquisas,40,66,00:00:00
2020-12-26,Disciplinas,40,0,00:00:00
2020-12-25,Programacao,40,0,00:00:00
2020-12-25,Domesticas,10,18,00:00:00
2020-12-25,Disciplinas,40,0,00:00:00
2020-12-25,Afirmacoes,150,0,00:00:00
2020-12-25,Exercicios,15,20,00:00:00
2020-12-25,Meditacao,50,6,00:00:00
2020-12-25,Pesquisas,40,40,00:00:00
2020-12-25,Flauta,40,0,00:00:00
2020-12-25,VitaminasEtc,150,1,00:00:00
2020-12-25,Neuronation/Ingles,25,0,00:00:00
2020-12-24,Programacao,40,0,00:00:00
2020-12-24,Domesticas,10,24,00:00:00
2020-12-24,VitaminasEtc,150,1,00:00:00
2020-12-24,Disciplinas,40,0,00:00:00
2020-12-24,Afirmacoes,150,0,00:00:00
2020-12-24,Neuronation/Ingles,25,0,00:00:00
2020-12-24,Flauta,40,0,00:00:00
2020-12-24,Meditacao,50,6,00:00:00
2020-12-24,Pesquisas,40,48,00:00:00
2020-12-24,Exercicios,15,0,00:00:00
2020-12-23,Neuronation/Ingles,25,0,00:00:00
2020-12-23,Pesquisas,40,48,00:00:00
2020-12-23,Afirmacoes,150,0,00:00:00
2020-12-23,Programacao,40,0,00:00:00
2020-12-23,VitaminasEtc,150,1,00:00:00
2020-12-23,Domesticas,10,12,00:00:00
2020-12-23,Meditacao,50,6,00:00:00
2020-12-23,Exercicios,15,20,00:00:00
2020-12-23,Flauta,40,0,00:00:00
2020-12-23,Disciplinas,40,0,00:00:00
2020-12-22,Meditacao,50,6,00:00:00
2020-12-22,Disciplinas,40,0,00:00:00
2020-12-22,VitaminasEtc,150,1,00:00:00
2020-12-22,Exercicios,15,20,00:00:00
2020-12-22,Domesticas,10,12,00:00:00
2020-12-22,Programacao,40,0,00:00:00
2020-12-22,Pesquisas,40,60,00:00:00
2020-12-22,Flauta,40,3,00:00:00
2020-12-22,Afirmacoes,150,0,00:00:00
2020-12-22,Neuronation/Ingles,25,5,00:00:00
2020-12-21,Disciplinas,40,0,00:00:00
2020-12-21,Afirmacoes,150,0,00:00:00
2020-12-21,Flauta,40,0,00:00:00
2020-12-21,Meditacao,50,0,00:00:00
2020-12-21,VitaminasEtc,150,0,00:00:00
2020-12-21,Pesquisas,40,24,00:00:00
2020-12-21,Programacao,40,0,00:00:00
2020-12-21,Domesticas,10,12,00:00:00
2020-12-21,Exercicios,15,20,00:00:00
2020-12-21,Neuronation/Ingles,25,0,00:00:00
2020-12-20,Afirmacoes,150,0,00:00:00
2020-12-20,Flauta,40,0,00:00:00
2020-12-20,Exercicios,15,0,00:00:00
2020-12-20,Programacao,40,0,00:00:00
2020-12-20,Meditacao,50,5,00:00:00
2020-12-20,Pesquisas,40,8,00:00:00
2020-12-20,VitaminasEtc,150,2,00:00:00
2020-12-20,Neuronation/Ingles,25,0,00:00:00
2020-12-20,Disciplinas,40,0,00:00:00
2020-12-20,Domesticas,10,12,00:00:00
2020-12-19,Domesticas,10,12,00:00:00
2020-12-19,Afirmacoes,150,0,00:00:00
2020-12-19,Flauta,40,0,00:00:00
2020-12-19,Neuronation/Ingles,25,0,00:00:00
2020-12-19,Disciplinas,40,0,00:00:00
2020-12-19,Exercicios,15,33,00:00:00
2020-12-19,Programacao,40,0,00:00:00
2020-12-19,Pesquisas,40,24,00:00:00
2020-12-19,VitaminasEtc,150,1,00:00:00
2020-12-19,Meditacao,50,8,00:00:00
2020-12-18,Neuronation/Ingles,25,0,00:00:00
2020-12-18,Afirmacoes,150,0,00:00:00
2020-12-18,Flauta,40,0,00:00:00
2020-12-18,Domesticas,10,8,00:00:00
2020-12-18,VitaminasEtc,150,1,00:00:00
2020-12-18,Exercicios,15,0,00:00:00
2020-12-18,Pesquisas,40,24,00:00:00
2020-12-18,Programacao,40,0,00:00:00
2020-12-18,Disciplinas,40,36,00:00:00
2020-12-18,Meditacao,50,0,00:00:00
2020-12-17,Disciplinas,40,0,00:00:00
2020-12-17,Meditacao,50,5,00:00:00
2020-12-17,Pesquisas,40,30,00:00:00
2020-12-17,Exercicios,15,0,00:00:00
2020-12-17,Programacao,40,0,00:00:00
2020-12-17,Flauta,40,0,00:00:00
2020-12-17,VitaminasEtc,150,1,00:00:00
2020-12-17,Afirmacoes,150,0,00:00:00
2020-12-17,Neuronation/Ingles,25,0,00:00:00
2020-12-17,Domesticas,10,12,00:00:00
2020-12-16,Flauta,40,0,00:00:00
2020-12-16,Neuronation/Ingles,25,0,00:00:00
2020-12-16,Domesticas,10,6,00:00:00
2020-12-16,Disciplinas,40,0,00:00:00
2020-12-16,Pesquisas,40,29,00:00:00
2020-12-16,Meditacao,50,0,00:00:00
2020-12-16,Programacao,40,0,00:00:00
2020-12-16,VitaminasEtc,150,0,00:00:00
2020-12-16,Afirmacoes,150,0,00:00:00
2020-12-16,Exercicios,15,20,00:00:00
2020-12-15,Pesquisas,40,0,00:00:00
2020-12-15,Flauta,40,3,00:00:00
2020-12-15,Afirmacoes,150,0,00:00:00
2020-12-15,Meditacao,50,8,00:00:00
2020-12-15,Exercicios,15,8,00:00:00
2020-12-15,Domesticas,10,12,00:00:00
2020-12-15,Disciplinas,40,60,00:00:00
2020-12-15,VitaminasEtc,150,1,00:00:00
2020-12-15,Neuronation/Ingles,25,0,00:00:00
2020-12-15,Programacao,40,0,00:00:00
2020-12-14,Disciplinas,40,48,00:00:00
2020-12-14,Exercicios,15,12,00:00:00
2020-12-14,VitaminasEtc,150,1,00:00:00
2020-12-14,Pesquisas,40,8,00:00:00
2020-12-14,Flauta,40,2,00:00:00
2020-12-14,Domesticas,10,8,00:00:00
2020-12-14,Programacao,40,0,00:00:00
2020-12-14,Meditacao,50,9,00:00:00
2020-12-14,Neuronation/Ingles,25,0,00:00:00
2020-12-14,Afirmacoes,150,0,00:00:00
2020-12-13,Disciplinas,40,72,00:00:00
2020-12-13,Flauta,40,2,00:00:00
2020-12-13,VitaminasEtc,150,0,00:00:00
2020-12-13,Programacao,40,0,00:00:00
2020-12-13,Meditacao,50,3,00:00:00
2020-12-13,Pesquisas,40,0,00:00:00
2020-12-13,Exercicios,15,10,00:00:00
2020-12-13,Neuronation/Ingles,25,0,00:00:00
2020-12-13,Afirmacoes,150,0,00:00:00
2020-12-13,Domesticas,10,12,00:00:00
2020-12-12,Exercicios,15,6,00:00:00
2020-12-12,Domesticas,10,35,00:00:00
2020-12-12,Meditacao,50,6,00:00:00
2020-12-12,Neuronation/Ingles,25,0,00:00:00
2020-12-12,Pesquisas,40,2,00:00:00
2020-12-12,Programacao,40,0,00:00:00
2020-12-12,Flauta,40,0,00:00:00
2020-12-12,Afirmacoes,150,0,00:00:00
2020-12-12,Disciplinas,40,3,00:00:00
2020-12-12,VitaminasEtc,150,1,00:00:00
2020-12-11,VitaminasEtc,150,1,00:00:00
2020-12-11,Domesticas,10,12,00:00:00
2020-12-11,Flauta,40,0,00:00:00
2020-12-11,Meditacao,50,2,00:00:00
2020-12-11,Exercicios,15,35,00:00:00
2020-12-11,Neuronation/Ingles,25,0,00:00:00
2020-12-11,Pesquisas,40,6,00:00:00
2020-12-11,Disciplinas,40,30,00:00:00
2020-12-11,Programacao,40,0,00:00:00
2020-12-11,Afirmacoes,150,0,00:00:00
2020-12-10,Flauta,40,0,00:00:00
2020-12-10,Meditacao,50,3,00:00:00
2020-12-10,Exercicios,15,0,00:00:00
2020-12-10,Pesquisas,40,0,00:00:00
2020-12-10,VitaminasEtc,150,1,00:00:00
2020-12-10,Neuronation/Ingles,25,0,00:00:00
2020-12-10,Afirmacoes,150,0,00:00:00
2020-12-10,Domesticas,10,90,00:00:00
2020-12-10,Disciplinas,40,0,00:00:00
2020-12-10,Programacao,40,0,00:00:00
2020-12-09,VitaminasEtc,150,1,00:00:00
2020-12-09,Neuronation/Ingles,25,0,00:00:00
2020-12-09,Afirmacoes,150,0,00:00:00
2020-12-09,Pesquisas,40,0,00:00:00
2020-12-09,Domesticas,10,60,00:00:00
2020-12-09,Meditacao,50,3,00:00:00
2020-12-09,Programacao,40,0,00:00:00
2020-12-09,Exercicios,15,0,00:00:00
2020-12-09,Disciplinas,40,0,00:00:00
2020-12-09,Flauta,40,0,00:00:00
2020-12-08,Exercicios,15,15,00:00:00
2020-12-08,Programacao,40,0,00:00:00
2020-12-08,Afirmacoes,150,0,00:00:00
2020-12-08,Disciplinas,40,0,00:00:00
2020-12-08,Meditacao,50,5,00:00:00
2020-12-08,Flauta,40,0,00:00:00
2020-12-08,Domesticas,10,60,00:00:00
2020-12-08,Pesquisas,40,30,00:00:00
2020-12-08,VitaminasEtc,150,1,00:00:00
2020-12-08,Neuronation/Ingles,25,0,00:00:00
2020-12-07,Disciplinas,40,30,00:00:00
2020-12-07,Programacao,40,0,00:00:00
2020-12-07,Exercicios,15,15,00:00:00
2020-12-07,Meditacao,50,6,00:00:00
2020-12-07,Pesquisas,40,14,00:00:00
2020-12-07,Afirmacoes,150,0,00:00:00
2020-12-07,Neuronation/Ingles,25,0,00:00:00
2020-12-07,Flauta,40,3,00:00:00
2020-12-07,Domesticas,10,6,00:00:00
2020-12-07,VitaminasEtc,150,1,00:00:00
2020-12-06,Afirmacoes,150,0,00:00:00
2020-12-06,Meditacao,50,8,00:00:00
2020-12-06,Disciplinas,40,0,00:00:00
2020-12-06,Pesquisas,40,52,00:00:00
2020-12-06,Neuronation/Ingles,25,0,00:00:00
2020-12-06,Flauta,40,0,00:00:00
2020-12-06,Domesticas,10,18,00:00:00
2020-12-06,VitaminasEtc,150,1,00:00:00
2020-12-06,Exercicios,15,0,00:00:00
2020-12-06,Programacao,40,0,00:00:00
2020-12-05,Afirmacoes,150,0,00:00:00
2020-12-05,Exercicios,15,0,00:00:00
2020-12-05,Programacao,40,0,00:00:00
2020-12-05,Flauta,40,0,00:00:00
2020-12-05,Neuronation/Ingles,25,0,00:00:00
2020-12-05,Meditacao,50,6,00:00:00
2020-12-05,VitaminasEtc,150,1,00:00:00
2020-12-05,Disciplinas,40,21,00:00:00
2020-12-05,Domesticas,10,12,00:00:00
2020-12-05,Pesquisas,40,12,00:00:00
2020-12-04,Exercicios,15,12,00:00:00
2020-12-04,Disciplinas,40,30,00:00:00
2020-12-04,Domesticas,10,12,00:00:00
2020-12-04,Afirmacoes,150,0,00:00:00
2020-12-04,VitaminasEtc,150,1,00:00:00
2020-12-04,Programacao,40,0,00:00:00
2020-12-04,Neuronation/Ingles,25,0,00:00:00
2020-12-04,Flauta,40,0,00:00:00
2020-12-04,Pesquisas,40,17,00:00:00
2020-12-04,Meditacao,50,8,00:00:00
2020-12-03,Domesticas,10,18,00:00:00
2020-12-03,Flauta,40,0,00:00:00
2020-12-03,Exercicios,15,29,00:00:00
